Haupt_oder_Linktabelle;Name_der_Tabelle;Name_des_Felds;Datentyp;Sprechender_Tabellenname;Sprechender_Feldname
LINK;R11BDAC;ACTIVE;NUMBER(1,0);r11BDAc;Active.r11BDAc
LINK;R11BDAC;CLIENTNO;FLOAT;r11BDAc;ClientNo.r11BDAc
LINK;R11BDAC;CREATEDATE;DATE;r11BDAc;CreateDate.r11BDAc
LINK;R11BDAC;CREATEUSER;NVARCHAR2(50);r11BDAc;CreateUser.r11BDAc
LINK;R11BDAC;MASSDATA;NUMBER(1,0);r11BDAc;MassData.r11BDAc
LINK;R11BDAC;MASTERPK;VARCHAR2(50);r11BDAc;MasterPk.r11BDAc
LINK;R11BDAC;OFFLINEDATA;NUMBER(1,0);r11BDAc;OfflineData.r11BDAc
LINK;R11BDAC;PK;VARCHAR2(50);r11BDAc;Pk.r11BDAc
LINK;R11BDAC;RIGHTPK;VARCHAR2(50);r11BDAc;RightPk.r11BDAc
LINK;R11BDAC;SLAVEPK;VARCHAR2(50);r11BDAc;SlavePk.r11BDAc
LINK;R11BDAC;STATUS;VARCHAR2(50);r11BDAc;Status.r11BDAc
LINK;R11BDAC;UPDATEDATE;DATE;r11BDAc;UpdateDate.r11BDAc
LINK;R11BDAC;UPDATEUSER;NVARCHAR2(50);r11BDAc;UpdateUser.r11BDAc
LINK;R11BDAC;WFINSTANCEID;VARCHAR2(50);r11BDAc;WFInstanceId.r11BDAc
LINK;R11BDCU;ACTIVE;NUMBER(1,0);r11BDCu;Active.r11BDCu
LINK;R11BDCU;CLIENTNO;FLOAT;r11BDCu;ClientNo.r11BDCu
LINK;R11BDCU;CREATEDATE;DATE;r11BDCu;CreateDate.r11BDCu
LINK;R11BDCU;CREATEUSER;NVARCHAR2(50);r11BDCu;CreateUser.r11BDCu
LINK;R11BDCU;MASSDATA;NUMBER(1,0);r11BDCu;MassData.r11BDCu
LINK;R11BDCU;MASTERPK;VARCHAR2(50);r11BDCu;MasterPk.r11BDCu
LINK;R11BDCU;OFFLINEDATA;NUMBER(1,0);r11BDCu;OfflineData.r11BDCu
LINK;R11BDCU;PK;VARCHAR2(50);r11BDCu;Pk.r11BDCu
LINK;R11BDCU;RIGHTPK;VARCHAR2(50);r11BDCu;RightPk.r11BDCu
LINK;R11BDCU;SLAVEPK;VARCHAR2(50);r11BDCu;SlavePk.r11BDCu
LINK;R11BDCU;STATUS;VARCHAR2(50);r11BDCu;Status.r11BDCu
LINK;R11BDCU;UPDATEDATE;DATE;r11BDCu;UpdateDate.r11BDCu
LINK;R11BDCU;UPDATEUSER;NVARCHAR2(50);r11BDCu;UpdateUser.r11BDCu
LINK;R11BDCU;WFINSTANCEID;VARCHAR2(50);r11BDCu;WFInstanceId.r11BDCu
LINK;R11CRFAC;ACTIVE;NUMBER(1,0);r11CRFAc;Active.r11CRFAc
LINK;R11CRFAC;CLIENTNO;FLOAT;r11CRFAc;ClientNo.r11CRFAc
LINK;R11CRFAC;CREATEDATE;DATE;r11CRFAc;CreateDate.r11CRFAc
LINK;R11CRFAC;CREATEUSER;NVARCHAR2(50);r11CRFAc;CreateUser.r11CRFAc
LINK;R11CRFAC;MASSDATA;NUMBER(1,0);r11CRFAc;MassData.r11CRFAc
LINK;R11CRFAC;MASTERPK;VARCHAR2(50);r11CRFAc;MasterPk.r11CRFAc
LINK;R11CRFAC;OFFLINEDATA;NUMBER(1,0);r11CRFAc;OfflineData.r11CRFAc
LINK;R11CRFAC;PK;VARCHAR2(50);r11CRFAc;Pk.r11CRFAc
LINK;R11CRFAC;RIGHTPK;VARCHAR2(50);r11CRFAc;RightPk.r11CRFAc
LINK;R11CRFAC;SLAVEPK;VARCHAR2(50);r11CRFAc;SlavePk.r11CRFAc
LINK;R11CRFAC;STATUS;VARCHAR2(50);r11CRFAc;Status.r11CRFAc
LINK;R11CRFAC;UPDATEDATE;DATE;r11CRFAc;UpdateDate.r11CRFAc
LINK;R11CRFAC;UPDATEUSER;NVARCHAR2(50);r11CRFAc;UpdateUser.r11CRFAc
LINK;R11CRFAC;WFINSTANCEID;VARCHAR2(50);r11CRFAc;WFInstanceId.r11CRFAc
LINK;R11CRFCU;ACTIVE;NUMBER(1,0);r11CRFCu;Active.r11CRFCu
LINK;R11CRFCU;CLIENTNO;FLOAT;r11CRFCu;ClientNo.r11CRFCu
LINK;R11CRFCU;CREATEDATE;DATE;r11CRFCu;CreateDate.r11CRFCu
LINK;R11CRFCU;CREATEUSER;NVARCHAR2(50);r11CRFCu;CreateUser.r11CRFCu
LINK;R11CRFCU;MASSDATA;NUMBER(1,0);r11CRFCu;MassData.r11CRFCu
LINK;R11CRFCU;MASTERPK;VARCHAR2(50);r11CRFCu;MasterPk.r11CRFCu
LINK;R11CRFCU;OFFLINEDATA;NUMBER(1,0);r11CRFCu;OfflineData.r11CRFCu
LINK;R11CRFCU;PK;VARCHAR2(50);r11CRFCu;Pk.r11CRFCu
LINK;R11CRFCU;RIGHTPK;VARCHAR2(50);r11CRFCu;RightPk.r11CRFCu
LINK;R11CRFCU;SLAVEPK;VARCHAR2(50);r11CRFCu;SlavePk.r11CRFCu
LINK;R11CRFCU;STATUS;VARCHAR2(50);r11CRFCu;Status.r11CRFCu
LINK;R11CRFCU;UPDATEDATE;DATE;r11CRFCu;UpdateDate.r11CRFCu
LINK;R11CRFCU;UPDATEUSER;NVARCHAR2(50);r11CRFCu;UpdateUser.r11CRFCu
LINK;R11CRFCU;WFINSTANCEID;VARCHAR2(50);r11CRFCu;WFInstanceId.r11CRFCu
LINK;R11CRFDO;ACTIVE;NUMBER(1,0);r11CRFDo;Active.r11CRFDo
LINK;R11CRFDO;CLIENTNO;FLOAT;r11CRFDo;ClientNo.r11CRFDo
LINK;R11CRFDO;CREATEDATE;DATE;r11CRFDo;CreateDate.r11CRFDo
LINK;R11CRFDO;CREATEUSER;NVARCHAR2(50);r11CRFDo;CreateUser.r11CRFDo
LINK;R11CRFDO;MASSDATA;NUMBER(1,0);r11CRFDo;MassData.r11CRFDo
LINK;R11CRFDO;MASTERPK;VARCHAR2(50);r11CRFDo;MasterPk.r11CRFDo
LINK;R11CRFDO;OFFLINEDATA;NUMBER(1,0);r11CRFDo;OfflineData.r11CRFDo
LINK;R11CRFDO;PK;VARCHAR2(50);r11CRFDo;Pk.r11CRFDo
LINK;R11CRFDO;RIGHTPK;VARCHAR2(50);r11CRFDo;RightPk.r11CRFDo
LINK;R11CRFDO;SLAVEPK;VARCHAR2(50);r11CRFDo;SlavePk.r11CRFDo
LINK;R11CRFDO;STATUS;VARCHAR2(50);r11CRFDo;Status.r11CRFDo
LINK;R11CRFDO;UPDATEDATE;DATE;r11CRFDo;UpdateDate.r11CRFDo
LINK;R11CRFDO;UPDATEUSER;NVARCHAR2(50);r11CRFDo;UpdateUser.r11CRFDo
LINK;R11CRFDO;WFINSTANCEID;VARCHAR2(50);r11CRFDo;WFInstanceId.r11CRFDo
LINK;R11ELMACADILI;ACTIVE;NUMBER(1,0);r11ELMACaDiLi;Active.r11ELMACaDiLi
LINK;R11ELMACADILI;CLIENTNO;FLOAT;r11ELMACaDiLi;ClientNo.r11ELMACaDiLi
LINK;R11ELMACADILI;CREATEDATE;DATE;r11ELMACaDiLi;CreateDate.r11ELMACaDiLi
